Turkish,English
bir,One
ve,And
olmak,to be
bu,This 
için,for
o,he
ben,I
demek,means
çok,A lot
yapmak,to do
ne,What
gibi,like
daha,more
almak,to take
var,there is
kendi,own
gelmek,to come
ile,with
vermek,to give
ama,But
sonra,later
kadar,much
yer,place
en,-most
insan,person 
değil,not
her,each
istemek,to want
yıl,year
çıkmak,to leave
görmek,to see
gün,day
biz,We
gitmek,to go
iş,work
şey,thing
ara,Search
ki,that
bilmek,to know
el,hand
zaman,time
ya,either
çocuk,child
iki,two
bakmak,to look 
çalışmak,to work
içinde,inside
büyük,big
yok,no
başlamak,to start
yol,path
kalmak,to stay
neden,From where
siz,you
konu,Subject
yapılmak,be done
iyi,Good
kadın,Woman
ev,house
ise,whereas
diye,saying
bulunmak,have
söylemek,to say
göz,eyelash
gerekmek,need to
dünya,World
baş,head
durum,situation
yan,side
geçmek,to go past
sen,you
onlar,them
yeni,new
önce,before
başka,Another
hal,status
orta,middle
su,This
girmek,to enter
ülke,country
yemek,food
hiç,none
bile,even
nasıl,How
bütün,all
karşı,opposite
bulmak,to find
böyle,like this
yaşamak,to live
düşünmek,to think
aynı,same
iç,drink
ancak,however
kişi,person
bunlar,these
veya,or 
ilk,first
göre,according to
ön,front
son,last
biri,someone
şekil,shape
önemli,important
yüz,face
hem,both
göstermek,to show
etmek,to do
alt,lower
getirmek,to bring
kullanmak,to use
çünkü,Because
taraf,side
şimdi,Now
adam,man
onun,his
diğer,other
artık,Now
üzerinde,on
ses,sound
hep,always
doğru,TRUE
durmak,stop
kız,girl
tüm,all
çekmek,to pull
konuşmak,to talk
para,money
anlamak,to understand
anne,mother
az,little
bazı,some
baba,father
hayat,life
sadece,Only
küçük,Small
fazla,more
bilgi,information
an,moment
sormak,to ask
bunun,this
öyle,like that
yine,again
sağlamak,to ensure
sonuç,conclusion
kullanılmak,to be used
dış,external
ad,name
yani,well
süre,duration
dönmek,return
açmak,open
oturmak,to sit
anlatmak,to explain
bırakmak,to leave
hemen,immediately
saat,hour
yaş,age
sorun,problem
devlet,state
sahip,owner
sıra,order 
yazmak,to write
yüzde,percentage
ay,month
atmak,to throw
tutmak,to hold
bunu,this
olay,event
düşmek,to fall
duymak,to listen
söz,promise
güzel,Beautiful
sevmek,to love
biraz,A little
zor,difficult
çıkarmak,subtract
şu,This
koymak,to put
tek,only
sistem,system
birlikte,together
verilmek,to be given
kim,who
alınmak,be taken
genç,youth
kapı,door
kitap,book
üzerine,over
burada,Here
gece,night
alan,area
birbiri,each other
işte,at work
beklemek,to wait
uzun,LONG
hiçbir,no
bugün,Today
dönem,period
arkadaş,friend
ürün,product
aile,family
üç,fly
okumak,to read
erkek,Male
herkes,everyone
güç,strength
belki,maybe
gerçek,real
tam,full
ilgili,relating to
ilişki,relationship
çevre,environment
eski,old
aramak,to call
yaşam,life
halk,people
yakın,close
sokak,street
bey,gentleman
tarih,history
özellik,feature
bölüm,section
özel,special
akıl,mind
kimse,noone
pek,much
eğer,if
gerek,necessary
özellikle,especially
anlam,meaning
yüksek,high
banka,bank
kez,times
ayak,foot
taşımak,to carry
geri,back
toplum,society
araç,vehicle
madde,article
tür,type
karar,decision
görülmek,be seen
hava,weather
sayı,number
farklı,different
grup,group
oda,room
biçim,format
oluşmak,to consist of
haber,news
Allah,Allah
ayrıca,Moreover
gelen,incoming
birkaç,a few 
soru,question
arka,back
kazanmak,to win
yazı,writing
okul,school
açık,open 
öğrenmek,to learn
sürmek,to spread
dil,language
şirket,company 
kaynak,source
bitmek,end
program,program
devam etmek,to continue
hareket,movement
renk,colour
açılmak,open
hak,right
inanmak,to believe
çalışma,study
açı,angle
parça,piece
gazete,newspaper
oluşturmak,to create
tabi,subject to
değer,value
tanımak,to recognise
yapı,structure
doktor,doctor
gelir,income
görev,duty
amaç,aim
bölge,area
film,film
üzere,as
müşteri,customer
zaten,already
telefon,telephone
eğitim,education
deniz,sea
ikinci,second
kalkmak,to get up
hatta,even
etki,effect
gelişmek,to develop
geçen,last
vücut,body
düşünce,thought
milyon,million
oynamak,play
değişmek,change
temel,basis
yaratmak,create
ulaşmak,to reach
sanmak,to think
geçirmek,spend
kültür,culture
kurmak,to create
fakat,but
buna,to this
resim,picture
ışık,light
içmek,to drink
hanım,woman
hizmet,service
ihtiyaç,need
nokta,point
yön,direction
evet,Yes
oyun,game
artmak,increase
yeniden,again
işlem,process
kısa,short
kolay,easy
hangi,Which
oran,ratio
aslında,Actually
kabul etmek,to accept
orada,there
dikkat,attention
uzak,far
bilgisayar,computer
gelecek,future
görünmek,appear
örneğin,for example
oğul,son
dinlemek,to listen
uygun,suitable
lira,lira
üretim,production
dakika,minute
unutmak,to forget
yürümek,to walk
böylece,like this
kötü,bad
araba,car 
ağız,mouth
duygu,feeling
uygulamak,to apply
hâlâ,still
örnek,example
birçok,A lot
izlemek,to watch
derece,degree
mümkün,possible
şöyle,Like this
duvar,wall
on,front
sanat,art
ana,main
hastalık,illness
öğrenci,student
televizyon,television
yöntem,method
masa,table
ölmek,to die
takım,set
üst,top
kafa,head
müzik,music
ayrılmak,To leave
enerji,energy
üniversite,university
spor,sport
türlü,various
can,life
rağmen,despite
kısım,part
ölüm,death
sürekli,continually
sağlık,health
çeşitli,various
bundan,from this
hissetmek,to feel
oysa,whereas
sabah,morning
internet,Internet
teknik,technical
dışarı,outside
merkez,centre
ortam,environment
yerine,in its place
düzey,level
köy,bay
yönetim,management
aşağı,down
cevap,reply
yatmak,to lie down
toprak,soil
isim,name
akşam,evening
araştırma,research
götürmek,take away
katılmak,to join
yoksa,or?
kurulmak,to be established
ödemek,pay
sanki,as if
kan,blood
hasta,sick
şehir,city
inmek,to get down
sunmak,to present
bilinmek,to be known
hafta,week
trafik,traffic
hesap,bill
otomobil,car
yabancı,foreign
davranış,behaviour
mutfak,kitchen
kent,city
bazen,Sometimes
belli,clear
ayrı,separate
fiyat,price
hakkında,about
kaldırmak,to pick up
kol,arm
yalnız,only
hazırlamak,to prepare
cam,pine
sonunda,finally
yavaş,slow
gerekli,necessary
önem,importance
koca,husband
yanlış,wrong
varlık,presence
art,increase
ilgi,interest
sana,to you
satış,sales
içeri,inside
doğal,natural
sahip olmak,to have
ekonomik,economic
acı,angle
hayır,No
korumak,to protect
kat,floor
ekonomi,economy
genel,general
belirtmek,to indicate
fotoğraf,Photograph
hayvan,animal
savaş,war
mal,goods
saç,hair
kaybetmek,to lose
kalan,remainder
değiştirmek,to change
dört,four
gerçekten,Really
sayfa,page
teknoloji,technology
kurum,organisation
beş,five
sektör,sector
geniş,wide
kağıt,paper
koku,smell
sağ,Right
sıcak,hot
yüzyıl,century
cadde,street
pazar,Sunday
sürdürmek,to continue
kullanım,use
sınıf,class
aşk,love
doğmak,be born
ağır,heavy
tekrar,again
güneş,sun 
sigara,cigarette
ağaç,tree
kelime,word
bina,building
eş,spouse
kaçmak,to escape
parti,party
yatak,bed 
yazar,writer
kulak,ear
öğretmen,teacher
sebep,reason
sol,left
peki,Alright
yağ,oil
yüzden,because of this
anlaşılmak,be understood
varmak,to arrive
gülmek,to laugh
kural,rule
satmak,to sell
şiir,poem
göndermek,to send
başarı,success
firma,firm
hükümet,government
kalp,heart
kesmek,to cut
proje,project
şart,condition
hız,speed
köşe,corner
vurmak,hit
model,model
balık,fish
piyasa,market
görüş,opinion
bura,here
hazırlanmak,get ready
miktar,amount
birinci,first
meydan,square 
ölçü,measurement
seçmek,to choose
uygulanmak,be applied
bahçe,garden
sevgi,love
ekmek,bread
boyunca,along
koşmak,to run
dolu,full
kuruluş,establishment
saye,thanks
korkmak,to be scared
yardım,help
karşılaşmak,to encounter
malzeme,material
hoş,pleasant
köpek,dog
ünlü,famous
büyümek,grow
dolaşmak,to wander
oldukça,increasingly
üstelik,besides
yaşanmak,to be experienced
beyaz,white
istek,request
öte,beyond
denmek,to be tried
kardeş,brother
çekilmek,withdraw
nerede,where
çalmak,to play
izin,permission
korku,fear
meslek,job
polis,police
yalnızca,just
açıklamak,to explain
fikir,idea
hızlı,fast
pencere,window
uğraşmak,to strive
taş,stone
ateş,fire
fark,difference
yetmek,enough
çoğu,most
kimi,who
koşul,condition
mahalle,neighbourhood
mutlaka,definitely
tane,unit
